cholera	Cholera	A00
typhoid fever	Typhoid Fever	A01.0
paratyphoid fever	Paratyphoid Fever	A01.1
salmonella enteritis	Salmonella Enteritis	A02.0
shigellosis	Shigellosis	A03
amoebiasis	Amoebiasis	A06
amoebic dysentery	Amoebic Dysentery	A06.0
amoebic liver abscess	Amoebic Liver Abscess	A06.4
acute gastroenteritis	Acute Gastroenteritis	A09
tuberculosis of lung	Pulmonary TB	A15.0
tuberculosis of lymph nodes	TB Lymphadenitis	A15.4
miliary tuberculosis	Miliary TB	A19
tuberculous meningitis	TB Meningitis	A17.0
plague	Plague	A20
brucellosis	Brucellosis	A23
tetanus	Tetanus	A35
diphtheria	Diphtheria	A36
whooping cough	Whooping Cough	A37
scarlet fever	Scarlet Fever	A38
meningococcal infection	Meningococcal Infection	A39
sepsis	Sepsis	A41
septic shock	Septic Shock	A41.9
actinomycosis	Actinomycosis	A42
gas gangrene	Gas Gangrene	A48.0
syphilis	Syphilis	A53
gonococcal infection	Gonorrhea	A54
chlamydial infection	Chlamydia	A56
chancroid	Chancroid	A57
leptospirosis	Leptospirosis	A27
leprosy	Leprosy	A30
rabies	Rabies	A82
herpes simplex	Herpes Simplex	B00
varicella	Chickenpox	B01
herpes zoster	Herpes Zoster	B02
measles	Measles	B05
rubella	Rubella	B06
viral hepatitis a	Hepatitis A	B15
viral hepatitis b	Hepatitis B	B16
viral hepatitis c	Hepatitis C	B17.1
viral hepatitis e	Hepatitis E	B17.2
hiv disease	HIV/AIDS	B20
cytomegalovirus	CMV	B25
mumps	Mumps	B26
infectious mononucleosis	Mono	B27
hand foot and mouth disease	HFMD	B08.4
dengue fever	Dengue Fever	A90
dengue hemorrhagic fever	Dengue Hemorrhagic Fever	A91
chikungunya	Chikungunya	A92.0
zika virus	Zika	A92.5
japanese encephalitis	Japanese Encephalitis	A83.0
malaria due to plasmodium falciparum	Falciparum Malaria	B50
malaria due to plasmodium vivax	Vivax Malaria	B51
malaria unspecified	Malaria	B54
kala azar	Visceral Leishmaniasis	B55.0
cutaneous leishmaniasis	Cutaneous Leishmaniasis	B55.1
filariasis	Filariasis	B74
hookworm disease	Hookworm	B76
ascariasis	Ascariasis	B77
strongyloidiasis	Strongyloidiasis	B78
enterobiasis	Pinworm	B80
taeniasis	Tapeworm	B68
cysticercosis	Cysticercosis	B69
echinococcosis	Hydatid Disease	B67
candidiasis	Candidiasis	B37
oral thrush	Oral Candidiasis	B37.0
vaginal candidiasis	Vaginal Candidiasis	B37.3
aspergillosis	Aspergillosis	B44
cryptococcosis	Cryptococcosis	B45
mucormycosis	Mucormycosis	B46
tinea corporis	Ringworm	B35.4
tinea pedis	Athlete's Foot	B35.3
tinea capitis	Scalp Ringworm	B35.0
tinea cruris	Jock Itch	B35.6
